Time,Value
3.5965,156673
3.6047,156673
3.61289,156673
3.62108,156673
3.62927,156673
3.63746,156673
3.64566,156673
3.65385,156673
3.66204,156673
3.67023,156673
3.67842,156673
3.68662,156673
3.69481,156673
3.703,156673
3.71119,156673
3.71938,156673
3.72758,156673
3.73577,156673
3.74396,156673
3.75215,156673
3.76034,156673
3.76854,156673
3.77673,156673
3.78492,156673
3.79311,156673
3.8095,156673
3.81769,156673
3.83001,156673
3.8382,156673
3.85051,156673
3.85872,156673
4.56784,175129
4.58883,176201
4.60982,177273
4.63033,178345
4.65085,179417
4.67136,180489
4.69188,181561
4.7124,182097
4.71287,182097
4.73292,182097
4.73339,182097
4.73386,182097
4.75343,185313
4.95438,185849
4.9749,185849
4.97537,185849
4.9959,185849
5.01642,187457
5.03694,187457
5.05746,187457
5.07798,189601
5.0985,190673
5.11948,191745
5.14095,192281
5.16147,192281
5.16194,192281
5.18199,192281
5.18246,194961
5.20298,194961
5.22351,194961
5.24403,194961
5.26454,197105
5.28553,198177
5.30652,199249
5.3275,200321
5.34802,201393
5.36854,202465
5.38905,203537
5.38999,204609
5.41004,205681
5.43056,206217
5.43103,206217
5.45108,206217
5.45155,206217
5.45202,206217
5.4716,209433
5.49211,210505
5.5131,211577
5.53409,212649
5.55507,213721
5.57559,214793
5.5961,215865
5.61662,216937
5.63714,217473
5.63761,217473
5.65766,217473
5.65813,217473
5.65861,217473
5.67818,220689
5.69869,221761
5.71969,221761
5.74021,221761
5.76073,221761
5.78124,223905
5.80223,224977
5.82322,226049
5.84421,227121
5.86472,228193
5.88524,229265
5.90575,230337
5.9067,231409
5.92674,232481
5.92768,233553
5.94773,234625
5.94867,235697
5.96871,236769
5.96966,237841
5.98923,238913
5.99017,239985
6.01022,240521
6.01069,240521
6.01117,240521
6.03074,240521
6.03122,240521
6.03169,240521
6.03215,244273
6.05173,245345
6.07225,246417
6.09323,247489
6.11422,248561
6.13521,249633
6.15573,249633
6.1562,249633
6.17625,249633
6.17672,249633
6.19677,252313
6.21728,253385
6.23827,254457
6.25926,255529
6.28024,256601
6.30076,256601
6.30124,256601
6.32129,256601
6.32176,256601
6.3418,259281
6.36232,260353
6.3833,261425
6.40429,262497
6.42528,263569
6.62575,264105
6.64627,264105
6.66679,264105
6.68731,264105
6.70784,264641
6.72835,266785
6.74887,267857
6.76985,268929
6.79084,270001
6.81183,271073
6.83282,271609
6.85334,271609
6.85382,271609
6.87386,271609
6.87433,274289
6.89485,275361
6.91584,276433
6.93683,277505
6.95829,278041
6.97881,278041
6.97929,278041
6.99934,278041
6.9998,280721
7.02032,281793
7.04132,281793
7.06184,281793
7.08236,281793
8.04084,283937
8.26135,284473
8.28235,284473
8.30287,284473
8.32339,284473
8.3439,286617
8.36489,287689
8.38588,288761
8.40687,289833
8.42738,290905
8.4479,291977
8.46842,291977
8.46889,291977
8.46936,291977
8.48894,291977
8.48941,291977
8.48988,295193
8.5104,296265
8.53139,297337
8.55237,298409
8.57336,299481
8.59435,299481
8.61488,299481
8.6354,299481
8.65592,300017
8.67643,302161
8.69695,303233
8.71794,304305
8.73892,305377
8.75991,306449
8.78043,306449
8.7809,306449
8.80143,306449
8.82195,308057
8.84248,308057
8.863,308057
8.88351,310201
8.90403,311273
8.92502,312345
8.94601,312345
8.96653,312345
8.98705,312345
9.00757,314489
9.02855,315561
9.04954,316633
9.07053,317705
9.09105,317705
9.09152,317705
9.11157,317705
9.11204,317705
9.13209,320385
9.33256,320921
