Time,Value
12.5342,2563
12.5342,2675
12.5543,2675
12.5543,2782
12.5552,2782
12.5552,2885
12.5762,2885
12.5762,2984
12.5967,2984
12.5967,3080
12.6172,3080
12.6172,3173
12.6377,3173
12.6377,3263
12.6583,3263
12.6583,3351
12.6797,3351
12.6797,2680
12.6993,2680
12.6993,2412
12.6998,2412
12.6998,2144
12.7002,2144
12.7002,1876
12.7007,1876
12.7007,1072
12.7613,1072
12.7613,536
12.7818,536
12.7818,1072
12.7818,1072
12.7818,1340
13.0024,1340
13.0024,1554
13.0639,1554
13.0639,536
13.0844,536
13.0844,1072
13.0844,1072
13.0844,1340
13.1054,1340
13.1054,1554
13.1264,1554
13.1264,1738
13.1474,1738
13.1474,1903
13.1679,1903
13.1679,2053
13.1884,2053
13.1884,2192
13.2089,2192
13.2089,2323
13.2099,2323
13.2099,2446
13.2299,2446
13.2299,2563
13.2309,2563
13.2309,2675
13.2509,2675
13.2509,2782
13.2519,2782
13.2519,2885
13.2924,2885
13.2924,2323
13.2929,2323
13.2929,2502
13.2934,2502
13.2934,2323
13.2939,2323
13.2939,2144
13.3129,2144
13.3129,1072
13.3344,1072
13.3344,1340
13.3554,1340
13.3554,1554
13.3764,1554
13.3764,1738
13.3974,1738
13.3974,1903
13.4179,1903
13.4179,2053
13.4384,2053
13.4384,2192
13.4589,2192
13.4589,2323
13.4599,2323
13.4599,2446
13.4799,2446
13.4799,2563
13.4809,2563
13.4809,2675
13.5009,2675
13.5009,2782
13.5018,2782
13.5018,2885
13.5228,2885
13.5228,2984
13.5433,2984
13.5433,3080
13.5839,3080
13.5839,2323
13.5849,2323
13.5849,2502
13.5853,2502
13.5853,2323
13.604,2323
13.604,2144
13.6044,2144
13.6044,1072
13.6264,1072
13.6264,1340
13.8469,1340
13.8469,1554
13.9084,1554
13.9084,536
13.929,536
13.929,1072
13.929,1072
13.929,1340
13.9499,1340
13.9499,1554
13.9709,1554
13.9709,1738
14.0124,1738
14.0124,1072
14.0535,1072
14.0535,1340
14.0745,1340
14.0745,1554
14.0954,1554
14.0954,1738
14.1164,1738
14.1164,1903
14.1369,1903
14.1369,2053
14.1575,2053
14.1575,2192
14.178,2192
14.178,2323
14.1789,2323
14.1789,2446
14.199,2446
14.199,2563
14.1999,2563
14.1999,2675
14.22,2675
14.22,2782
14.2209,2782
14.2209,2885
14.2419,2885
14.2419,2984
14.2624,2984
14.2624,3080
14.2829,3080
14.2829,3173
14.3034,3173
14.3034,3263
14.3239,3263
14.3239,3351
14.3454,3351
14.3454,2680
14.365,2680
14.365,2412
14.3655,2412
14.3655,2144
14.3659,2144
14.3659,1876
14.3664,1876
14.3664,1072
14.386,1072
14.386,1340
14.407,1340
14.407,1554
14.6275,1554
14.6275,1738
14.6685,1738
14.6685,1072
14.7096,1072
14.7096,1340
14.7305,1340
14.7305,1554
14.7515,1554
14.7515,1738
14.7725,1738
14.7725,1903
14.793,1903
14.793,2053
14.8135,2053
14.8135,2192
14.8341,2192
14.8341,2323
14.835,2323
14.835,2446
14.8765,2446
14.8765,1608
14.877,1608
14.877,1072
14.9586,1072
14.9586,1340
14.9796,1340
14.9796,1554
15.0006,1554
15.0006,1738
15.0216,1738
15.0216,1903
15.0421,1903
15.0421,2053
15.0626,2053
15.0626,2192
15.0831,2192
15.0831,2323
15.0841,2323
15.0841,2446
15.1041,2446
15.1041,2563
15.105,2563
15.105,2675
15.1251,2675
15.1251,2782
15.126,2782
15.126,2885
15.1671,2885
15.1671,2323
15.1675,2323
15.1675,1072
15.2091,1072
15.2091,1340
15.2711,1340
15.2711,536
15.2916,536
15.2916,1072
15.2916,1072
15.2916,1340
16.2916,1340
16.2916,536
16.3121,536
16.3121,1072
16.5942,1072
16.5942,536
16.6147,536
16.6147,1072
16.6147,1072
16.6147,1340
16.6357,1340
16.6357,1554
16.6567,1554
16.6567,1738
16.6777,1738
16.6777,1903
16.6982,1903
16.6982,2053
16.7187,2053
16.7187,2192
16.7392,2192
16.7392,2323
16.7402,2323
16.7402,2446
16.7602,2446
16.7602,2563
16.8013,2563
