Time,Value
6.3833,261961
6.40429,262497
6.40429,263033
6.40429,263569
6.42528,264105
6.42528,264641
6.62575,265177
6.64627,265713
6.66679,266249
6.68731,264105
6.70784,264641
6.70784,266785
6.72835,267321
6.74887,267857
6.74887,268393
6.76985,268929
6.76985,269465
6.79084,270001
6.79084,270537
6.79084,271073
6.81183,271609
6.81183,272145
6.83282,272681
6.83282,273217
6.85334,273753
6.85382,271609
6.87386,274289
6.87433,274825
6.89485,275361
6.89485,275897
6.91584,276433
6.91584,276969
6.93683,277505
6.93683,278041
6.93683,278577
6.95829,279113
6.95829,279649
6.97881,280185
6.97929,278041
6.99934,280721
6.9998,281257
7.02032,281793
7.02032,282329
7.04132,282865
7.06184,283401
7.08236,281793
8.02032,281793
8.04084,283937
8.26135,284473
8.26135,285009
8.28235,285545
8.30287,286081
8.32339,284473
8.3439,286617
8.3439,287153
8.36489,287689
8.36489,288225
8.38588,288761
8.38588,289297
8.38588,289833
8.40687,290369
8.40687,290905
8.42738,291441
8.42738,291977
8.4479,292513
8.4479,293049
8.4479,293585
8.46842,294121
8.46889,294657
8.46936,291977
8.48941,295193
8.48988,295729
8.5104,296265
8.5104,296801
8.53139,297337
8.53139,297873
8.55237,298409
8.55237,298945
8.55237,299481
8.57336,300017
8.57336,300553
8.59435,301089
8.61488,301625
8.6354,299481
8.65592,300017
8.65592,302161
8.67643,302697
8.69695,303233
8.69695,303769
8.71794,304305
8.71794,304841
8.73892,305377
8.73892,305913
8.73892,306449
8.75991,306985
8.75991,307521
8.78043,308057
8.7809,308593
8.80143,306449
8.82195,309129
8.84248,309665
8.863,308057
8.863,310201
8.88351,310737
8.90403,311273
8.90403,311809
8.92502,312345
8.92502,312881
8.94601,313417
8.96653,313953
8.98705,312345
9.00757,314489
9.00757,315025
9.02855,315561
9.02855,316097
9.04954,316633
9.04954,317169
9.04954,317705
9.07053,318241
9.07053,318777
9.09105,319313
9.09152,319849
9.11157,317705
9.11204,320385
9.13209,320921
9.33256,321457
9.35308,321993
9.3736,322529
9.39412,320921
9.41464,323065
9.41464,323601
9.43563,324137
9.43563,324673
9.45661,325209
9.45661,325745
9.45661,326281
9.4776,326817
9.4776,327353
9.49812,327889
9.49812,328425
9.51911,328961
9.51911,329497
9.53963,330033
9.5401,327889
